,Img1 (X),Img1 (Y),Img2 (X),Img2 (Y),deltaX,deltaY
101,298.59848,271.22696,293.62183,291.13351,4.97665,-19.90655
102,281.18024,253.8087,273.71527,273.71527,7.46497,-19.90657
103,468.79962,116.45341,462.82764,137.3553,5.97198,-20.90189
104,695.73444,98.5375,689.76251,116.45341,5.97193,-17.91591
105,501.64545,388.17804,498.65945,406.09393,2.986,-17.91589
106,468.79962,104.50947,462.82764,122.42538,5.97198,-17.91591
107,289.64053,256.79468,286.65454,274.7106,2.98599,-17.91592
108,453.86969,128.39734,447.89771,149.29924,5.97198,-20.9019
109,501.64545,128.39734,495.67346,149.29924,5.97199,-20.9019
110,280.68256,170.20114,274.7106,188.11703,5.97196,-17.91589
111,241.86478,453.86969,238.87878,474.77158,2.986,-20.90189
112,329.65274,161.24318,326.06955,179.15909,3.58319,-17.91591
113,541.06049,379.81729,541.06049,397.73318,0.0,-17.91589
114,548.22681,379.81729,541.06049,397.73318,7.16632,-17.91589
115,465.81363,118.245,462.23047,136.1609,3.58316,-17.9159
116,297.40408,272.32181,293.82092,290.23773,3.58316,-17.91592
117,455.06409,128.99455,447.89774,146.91046,7.16635,-17.91591
118,863.54681,390.56683,856.38049,408.48273,7.16632,-17.9159
119,451.48093,118.245,444.31454,136.1609,7.16639,-17.9159
120,286.65454,175.57591,279.48819,200.65819,7.16635,-25.08228
121,501.64545,386.98364,498.06229,404.89954,3.58316,-17.9159
122,272.32181,186.32545,265.15546,207.82455,7.16635,-21.4991
123,279.48819,150.49364,272.32181,168.40955,7.16638,-17.91591
124,279.48819,161.24318,274.7106,173.18712,4.77759,-11.94394
125,240.07318,455.06409,236.49001,472.98001,3.58317,-17.91592
