,Img1 (X),Img1 (Y),Img2 (X),Img2 (Y),deltaX,deltaY
95,640.90289,127.51705,636.04449,147.23592,4.8584,-19.71887
96,678.99524,378.7944,674.0426,398.05688,4.95264,-19.26248
97,693.37592,384.34625,687.8222,404.70856,5.55372,-20.36231
98,695.67273,358.74121,690.94482,377.50195,4.72791,-18.76074
99,730.86957,64.61375,726.19757,83.11291,4.672,-18.49916
100,733.22449,36.87626,728.04218,55.50904,5.18231,-18.63278
101,733.22449,36.87626,728.04218,55.50904,5.18231,-18.63278
102,736.40741,71.94525,731.49933,89.8783,4.90808,-17.93305
103,737.63391,56.72504,733.1001,75.26052,4.53381,-18.53548
104,742.47888,43.1067,738.6228,61.52092,3.85608,-18.41422
105,753.36658,58.88891,748.63733,76.33815,4.72925,-17.44924
106,756.86554,359.89032,752.55219,378.28799,4.31335,-18.39767
107,807.89551,369.85532,802.92969,388.13275,4.96582,-18.27743
108,815.30914,66.58273,811.0744,84.42693,4.23474,-17.8442
109,856.46796,368.16312,851.7793,386.36057,4.68866,-18.19745
110,871.91223,400.93411,866.78107,420.69778,5.13116,-19.76367
111,877.76514,390.314,872.94434,410.14166,4.8208,-19.82766
112,882.95111,462.75775,877.82538,482.21283,5.12573,-19.45508
113,885.47797,544.82715,879.95465,564.40228,5.52332,-19.57513
114,885.6521,536.38867,880.58337,555.80066,5.06873,-19.41199
115,885.85883,552.95581,880.60004,572.42938,5.25879,-19.47357
116,885.85883,552.95581,880.60004,572.42938,5.25879,-19.47357
117,887.01343,447.67731,881.65997,467.55798,5.35346,-19.88067
118,893.17206,391.03168,888.23688,410.00122,4.93518,-18.96954
119,900.11633,454.35886,896.64026,473.2883,3.47607,-18.92944
120,923.04395,237.36472,918.22375,255.35887,4.8202,-17.99415
121,959.22266,351.33197,953.87067,368.7757,5.35199,-17.44373
122,964.98468,586.72296,959.62341,605.13525,5.36127,-18.41229
123,965.47699,192.21846,961.13171,210.54045,4.34528,-18.32199
124,969.24908,592.15973,963.72791,611.23236,5.52117,-19.07263
125,970.51941,389.25003,964.98651,408.37598,5.5329,-19.12595
126,972.85852,378.17871,967.76886,396.84052,5.08966,-18.66181
127,972.91425,378.5546,967.76886,396.84052,5.14539,-18.28592
128,975.83832,382.67361,970.73425,401.68991,5.10407,-19.0163
129,986.22174,350.75687,981.26575,368.54904,4.95599,-17.79217
130,986.22174,350.75687,981.26575,368.54904,4.95599,-17.79217
131,1004.00702,593.13403,999.89008,609.94141,4.11694,-16.80738
132,1013.53741,565.81122,1007.9931,583.46973,5.54431,-17.65851
133,1017.33246,320.68231,1012.36108,337.77075,4.97138,-17.08844
134,1018.03979,375.46118,1013.00446,393.06177,5.03533,-17.60059
